BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
2671,SURENDER SINGH,02:17:12,00:06:31,2348of 5817,2176of 5107,50 to 54 yrs Male
2672,ANIRBAN NANDI,02:25:16,00:06:54,2934of 5817,2680of 5107,40 to 44 yrs Male
2673,HARSH SINGH,02:43:01,00:07:44,4051of 5817,3638of 5107,30 to 34 yrs Male
2674,SIMTA SHARMA,01:41:44,00:04:50,346of 5817,18of 710,30 to 34 yrs Female
2676,VIJAY SACHDEVA,01:55:37,00:05:29,938of 5817,893of 5107,55 to 59 yrs Male
2677,SANJAY SRIVASTAVA,01:59:20,00:05:40,1147of 5817,1084of 5107,45 to 49 yrs Male
2678,PANKAJ ARORA,01:52:23,00:05:20,771of 5817,735of 5107,35 to 39 yrs Male
2679,JAGAT JIT SINGH,02:58:45,00:08:29,4853of 5817,4319of 5107,35 to 39 yrs Male
2680,AJAY MALETHA,01:43:54,00:04:56,412of 5817,392of 5107,35 to 39 yrs Male
2681,ANUJ YADAV,02:41:06,00:07:39,3944of 5817,3545of 5107,50 to 54 yrs Male
2682,RANJAN GOSWAMI,02:33:27,00:07:17,3464of 5817,3147of 5107,55 to 59 yrs Male
2683,RAJESH HEMRAJANI,02:03:27,00:05:52,1416of 5817,1330of 5107,50 to 54 yrs Male
2684,MAHESH KUMAR,02:46:35,00:07:54,4245of 5817,3805of 5107,30 to 34 yrs Male
2685,ABHIJIT SINGH,02:01:27,00:05:46,1293of 5817,1216of 5107,40 to 44 yrs Male
2687,HARMAN GUPTA,02:26:37,00:06:57,3028of 5817,2770of 5107,35 to 39 yrs Male
2688,NEERAJ KUMAR SHARMA,02:58:03,00:08:27,4826of 5817,4294of 5107,30 to 34 yrs Male
2689,ANAND SINGH,02:48:46,00:08:00,4381of 5817,3916of 5107,40 to 44 yrs Male
2690,BANDANA RAI,03:17:55,00:09:23,5414of 5817,627of 710,45 to 49 yrs Female
2694,JITINDRA KUMAR,01:52:13,00:05:20,760of 5817,724of 5107,55 to 59 yrs Male
