BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
520,MAYA SHANKER PRABHAT,03:45:06,00:05:21,556of 7194,532of 6528,40 to 44 yrs Male
546,PANKAJ SINGH,05:59:09,00:08:31,6252of 7194,5696of 6528,35 to 39 yrs Male
567,PRAKASH POOJARY,05:25:06,00:07:43,4961of 7194,4563of 6528,50 to 54 yrs Male
610,ATUL AHUJA,05:10:23,00:07:22,4309of 7194,3978of 6528,40 to 44 yrs Male
637,JIGNESH BARASARA,04:46:13,00:06:47,3105of 7194,2888of 6528,45 to 49 yrs Male
666,UDIT WAHIE,04:48:51,00:06:51,3240of 7194,3011of 6528,40 to 44 yrs Male
691,VINEET RAMCHANDANI,04:39:24,00:06:38,2729of 7194,2546of 6528,35 to 39 yrs Male
710,RUSHIKESH BHORANIA,04:21:40,00:06:13,1900of 7194,1792of 6528,40 to 44 yrs Male
719,VIKAS SUTHAR,04:54:07,00:06:59,3522of 7194,3269of 6528,35 to 39 yrs Male
777,MAHESH SALVI,05:31:01,00:07:51,5232of 7194,4801of 6528,45 to 49 yrs Male
800,SIDDHARTH RAMAN,05:08:48,00:07:20,4238of 7194,3913of 6528,35 to 39 yrs Male
831,SATYABRATA MISHRA,05:42:58,00:08:08,5699of 7194,5214of 6528,30 to 34 yrs Male
888,GEORGE VARGHESE,05:19:48,00:07:35,4712of 7194,4338of 6528,55 to 59 yrs Male
900,THOMAS PHILIP,03:23:11,00:04:49,186of 7194,183of 6528,55 to 59 yrs Male
907,KEYUR KAPADIA,05:19:50,00:07:35,4713of 7194,4339of 6528,40 to 44 yrs Male
927,PRIYA NARAYAN,05:08:07,00:07:19,4214of 7194,324of 666,40 to 44 yrs Female
977,MAHESH DWIVEDI,02:51:41,00:04:05,33of 7194,33of 6528,35 to 39 yrs Male
999,KOTHANDAPANI K C,04:15:36,00:06:04,1644of 7194,1556of 6528,65 to 69 yrs Male
1000,SUDHANSHU VATS,03:52:37,00:05:31,782of 7194,752of 6528,55 to 59 yrs Male
1006,PRASAD THAKAR,03:47:21,00:05:24,631of 7194,605of 6528,45 to 49 yrs Male
1008,VIVEK MISRA,03:56:17,00:05:36,913of 7194,874of 6528,30 to 34 yrs Male
1010,VINEET TYAGI,04:45:18,00:06:46,3056of 7194,2844of 6528,50 to 54 yrs Male
1011,NAVEEN NAGPAL,03:37:23,00:05:10,387of 7194,369of 6528,40 to 44 yrs Male
1015,SACHIN SINGH,03:54:22,00:05:34,837of 7194,804of 6528,30 to 34 yrs Male
1024,EZHIL ILANKO,04:41:12,00:06:40,2825of 7194,2632of 6528,40 to 44 yrs Male
1032,KETAN BOHRA,04:46:35,00:06:48,3124of 7194,2906of 6528,40 to 44 yrs Male
1034,MAHESH MULAY,03:45:10,00:05:21,560of 7194,536of 6528,50 to 54 yrs Male
1035,SHAILESH HONRAO,05:11:02,00:07:23,4340of 7194,4007of 6528,45 to 49 yrs Male
1036,BRIJESH GAJJAR,04:19:26,00:06:09,1790of 7194,1687of 6528,35 to 39 yrs Male
1039,SANTANU DUTTA,03:59:33,00:05:41,1063of 7194,1015of 6528,45 to 49 yrs Male
1042,PRASAD DAYAL,04:14:46,00:06:03,1612of 7194,1528of 6528,45 to 49 yrs Male
1043,AJIT PHADKE,04:40:49,00:06:40,2799of 7194,2611of 6528,45 to 49 yrs Male
1047,AMIT SAMANT,04:07:22,00:05:52,1336of 7194,1274of 6528,45 to 49 yrs Male
1054,KHUSHBOO VAISH,04:21:41,00:06:13,1901of 7194,109of 666,35 to 39 yrs Female
1059,VIVEK NAIK,04:59:08,00:07:06,3783of 7194,3503of 6528,35 to 39 yrs Male
1062,SUHRID ROY,05:01:08,00:07:09,3897of 7194,3611of 6528,45 to 49 yrs Male
1063,VAIBHAV MANKE,03:46:03,00:05:22,592of 7194,568of 6528,40 to 44 yrs Male
1064,VIVEK SONI,05:31:14,00:07:51,5242of 7194,4811of 6528,50 to 54 yrs Male
